GEO_UNIT,WEEK,GEO_LEVEL,CHANNEL,BRAND,SUB_BRAND,FEATURE,VALUE
FR,21-12-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,168294.5262
FR,2021-04-01 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,121933.5058
FR,2021-11-01 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,124003.394
FR,18-01-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,117736.76
FR,25-01-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,137125.3458
FR,2021-01-02 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,125028.8432
FR,2021-08-02 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,132320.9264
FR,15-02-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,167129.2298
FR,22-02-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,158052.1054
FR,2021-01-03 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,183555.4068
FR,2021-08-03 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,176035.446
FR,15-03-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,179396.6406
FR,22-03-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,145746.715
FR,29-03-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,168914.271
FR,2021-05-04 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,143372.99
FR,2021-12-04 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,155089.6966
FR,19-04-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,186973.5708
FR,26-04-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,147038.0214
FR,2021-03-05 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,202849.0436
FR,2021-10-05 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,206969.8302
FR,17-05-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,169730.8324
FR,24-05-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,173699.7006
FR,31-05-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,180915.8246
FR,2021-07-06 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,208545.9836
FR,14-06-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,169768.812
FR,21-06-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,201937.5332
FR,28-06-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,193259.1946
FR,2021-05-07 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,205241.7584
FR,2021-12-07 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,184732.7744
FR,19-07-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,178788.967
FR,26-07-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,207178.718
FR,2021-02-08 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,206153.2688
FR,2021-09-08 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,211090.6168
FR,16-08-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,192005.8678
FR,23-08-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,180118.253
FR,30-08-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,165534.0866
FR,2021-06-09 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,139366.1422
FR,13-09-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,169521.9446
FR,20-09-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,141682.8978
FR,27-09-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,155678.3804
FR,2021-04-10 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,141853.806
FR,2021-11-10 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,136061.917
FR,18-10-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,155564.4416
FR,25-10-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,191417.184
FR,2021-01-11 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,157368.4726
FR,2021-08-11 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,145974.5926
FR,15-11-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,136631.611
FR,22-11-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,147038.0214
FR,29-11-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,204880.9522
FR,2021-06-12 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,162989.4534
FR,13-12-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,154937.7782
FR,20-12-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,166293.6786
FR,2022-03-01 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,146588.028
FR,2022-10-01 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,143341.815
FR,17-01-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,175021.725
FR,24-01-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,161019.987
FR,31-01-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,151457.3475
FR,2022-07-02 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,149951.574
FR,14-02-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,175178.169
FR,21-02-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,160374.6555
FR,28-02-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,162682.2045
FR,2022-07-03 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,172851.0645
FR,14-03-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,154449.339
FR,21-03-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,161880.429
FR,28-03-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,153100.0095
FR,2022-04-04 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,154664.4495
FR,2022-11-04 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,202106.0925
FR,18-04-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,177251.052
FR,25-04-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,176214.6105
FR,2022-02-05 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,167805.7455
FR,2022-09-05 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,159416.436
FR,16-05-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,159005.7705
FR,23-05-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,199094.5455
FR,30-05-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,191604.789
FR,2022-06-06 00:00:00,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,169057.2975
FR,13-06-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,181162.152
FR,20-06-2022,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,160824.432
FR,30-12-2019,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,80970.0
FR,28-12-2020,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,110930.0
FR,27-12-2021,FR,ENSEIGNES_HMSM,doritos,doritos,VOLUME_SALES_SCALED,117620.0
